1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
8683856,18355663,45967349,35722710,9726766,8683856,18355663,45967349,35722710,9726766,8711366,18295512,46066839,35667394,9709707,8210395,15601868,44960741,48751494,50612671,8237994,15568482,44882468,48829755,50516687,96042214,90179701,69784467,84690800,95170750,96042214,90179701,69784467,84690800,95170750,96046928,90196722,69792157,84707540,95177749,96574993,91519634,54415205,28077050,29704911,96577970,91520734,54415408,28076577,29704849,0
18716804,50724909,107442883,66684177,25056801,18716804,50724909,107442883,66684177,25056801,18735977,50735707,107660914,66771837,25132713,15584982,46364248,110512732,119767208,117597503,15522071,46523289,110549703,119808367,117555039,246449624,223975861,181154533,212049785,243146679,246449624,223975861,181154533,212049785,243146679,246456777,223977475,181153040,212046115,243156097,248188236,228296098,141280294,72896992,77122781,248193587,228304943,141280207,72897111,77122403,0
40246609,62324347,82324885,70656494,43761950,40246609,62324347,82324885,70656494,43761950,40267513,62412717,82218953,70639793,43769763,38433249,58530786,109443898,105531949,109754117,38419204,58612673,109349060,105689940,109797182,247810725,224840597,196442301,214924172,243496802,247810725,224840597,196442301,214924172,243496802,247813155,224844323,196443795,214926953,243500085,250550695,228806184,168604818,87382013,92446579,250547622,228803503,168605422,87381902,92446300,0
177378976,210023995,198377800,203778585,196817962,177378976,210023995,198377800,203778585,196817962,177363577,210168086,198319798,203831382,197031205,159371635,212282317,217976409,209847927,209686186,159635887,212224575,217864845,209688339,209730540,321932010,225746829,162604848,199627631,299238988,321932010,225746829,162604848,199627631,299238988,321950133,225745880,162603508,199627550,299242907,336342583,238023301,126648171,65496685,69261572,336346867,238022663,126649381,65496871,69261352,0
8581766,22626868,45213045,28569993,11142476,8581766,22626868,45213045,28569993,11142476,8587347,22605091,45203077,28592517,11123250,6386557,20448926,68910392,72398854,70614383,6362355,20412631,68958874,72499139,70666785,154503194,144412558,126262337,138953231,152880888,154503194,144412558,126262337,138953231,152880888,154504343,144417643,126263201,138959727,152882358,155382681,146377360,99395852,51286260,54258753,155381943,146376661,99396014,51286137,54258831,0
141284185,245133024,396801547,283521673,162128369,141284185,245133024,396801547,283521673,162128369,141314941,245239950,396886760,283702125,162282486,130386962,229255624,666795451,737142657,726188193,130346520,229360700,666657077,736689607,726399302,1501961017,1405716546,1270079567,1362404671,1483972385,1501961017,1405716546,1270079567,1362404671,1483972385,1501961195,1405715950,1270076252,1362405979,1483972280,1513122038,1422511564,1033855183,535305179,566333541,1513121940,1422510354,1033853911,535304013,566334654,0
3462109,6780090,19849168,14172236,3764057,3462109,6780090,19849168,14172236,3764057,3448315,6803331,19899413,14132006,3797612,3368908,5629455,19215602,21314259,22058055,3384264,5637969,19164012,21273414,22055283,40213491,38021654,29399876,35876844,39826495,40213491,38021654,29399876,35876844,39826495,40213515,38022349,29400909,35878338,39826978,40463352,38478973,22907542,11819953,12504903,40462990,38478465,22907534,11819954,12504901,0
20776350,34855094,72670457,50907391,21676576,20776350,34855094,72670457,50907391,21676576,20845252,34785653,72726365,50821261,21692926,20200330,31279602,72120003,77784990,77886447,20147502,31324437,72141403,77663127,77855170,149147310,134728556,105644395,126712425,146333222,149147310,134728556,105644395,126712425,146333222,149148582,134731407,105647811,126721753,146334862,150983896,137293094,82726441,42688678,45163189,150982018,137296601,82728219,42689017,45163438,0
36810230,63031284,138542676,83105124,38345391,36810230,63031284,138542676,83105124,38345391,36825681,62984517,138456104,83108411,38384777,36150836,55482349,192955437,203334076,185721796,36197113,55437069,192898969,203223824,185747081,396167324,377671404,333255606,365895142,392936891,396167324,377671404,333255606,365895142,392936891,396167019,377673359,333262138,365898499,392937119,398355706,381532249,267875607,138253010,146267282,398356727,381531133,267876195,138253218,146267521,0
1474050,5722914,20317015,9515557,1837341,1474050,5722914,20317015,9515557,1837341,1470084,5723816,20280671,9521530,1840650,1299292,4489611,32412905,32498610,33931888,1286336,4482098,32375163,32524160,33975182,72882712,70933278,63538363,69170285,72651999,72882712,70933278,63538363,69170285,72651999,72883722,70930190,63531437,69164186,72652434,73008028,71443565,50776787,26201904,27720718,73008092,71443108,50777035,26201878,27720822,0
6799529,21847144,64284777,30418313,7738397,6799529,21847144,64284777,30418313,7738397,6799477,21831985,64378272,30382276,7717183,6350372,17656025,63227002,68380617,67222471,6332882,17758485,63041336,68391079,67157949,143127287,135495684,112049327,129885307,142102279,143127287,135495684,112049327,129885307,142102279,143125927,135506983,112051650,129911436,142101051,143755286,137438959,87422426,45107413,47722839,143755422,137442467,87422178,45107799,47722275,0
409043318,630471851,650774164,638864430,462674500,409043318,630471851,650774164,638864430,462674500,409353700,631007021,650694705,638810490,462700570,376102966,617535498,677172543,701709433,694457018,376082627,617393863,677009783,701980591,694158168,1271597114,990704915,741550740,892346274,1216975462,1271597114,990704915,741550740,892346274,1216975462,1271622814,990750411,741577693,892377930,1217011950,1304811698,1034398578,583432523,301285161,318749034,1304809645,1034395211,583435393,301285059,318750640,0
2728701,4060303,6181387,4735464,2932629,2728701,4060303,6181387,4735464,2932629,2747576,4063562,6179020,4714891,2934531,2588579,3828592,10319808,10402335,9995760,2582215,3847249,10301531,10391932,9999268,22111667,20425653,18339425,19745520,21757855,22111667,20425653,18339425,19745520,21757855,22108992,20424242,18345290,19746045,21755061,22340263,20697768,15351290,7939331,8399516,22339681,20696519,15350769,7939402,8399746,0
5247110,19620587,25743108,24387939,6264932,5247110,19620587,25743108,24387939,6264932,5299070,19651796,25734983,24434225,6239502,4646781,16165817,20212748,25138739,26424556,4663636,16150112,20210774,25145286,26471347,55086900,48123799,35266914,43239187,54239820,55086900,48123799,35266914,43239187,54239820,55088802,48137934,35266355,43242409,54243478,55600929,49968775,27478702,14178459,15000276,55602114,49964654,27478766,14178420,15000601,0
13662511,36343174,104626632,51707210,17424342,13662511,36343174,104626632,51707210,17424342,13651650,36347562,104695649,51585582,17404863,12276520,32586287,105247634,113745577,111859105,12274791,32514770,105120483,113820576,111922488,234489101,218849304,181486778,209557600,232177176,234489101,218849304,181486778,209557600,232177176,234491122,218852586,181488333,209561048,232180247,235818462,221911525,141432202,72975077,77205093,235816927,221909298,141432197,72975262,77205660,0
141971,672533,6388393,2348483,234938,141971,672533,6388393,2348483,234938,145107,690265,6401166,2373171,231762,79719,529771,6883376,7034502,6850590,78532,531161,6876917,7059205,6860167,14291809,14057905,11573083,13708659,14263414,14291809,14057905,11573083,13708659,14263414,14291649,14058031,11573246,13709173,14263104,14301767,14116721,9014590,4651678,4921410,14301726,14116743,9014477,4651659,4921305,0
11462524,21471878,61084891,28621155,12480667,11462524,21471878,61084891,28621155,12480667,11423687,21458275,61242470,28580049,12494210,10845875,19764590,69199172,72824464,71596373,10829287,19812055,68973599,72911958,71656571,146357004,138568384,118770049,134237561,145060309,146357004,138568384,118770049,134237561,145060309,146351891,138569285,118772784,134239493,145056192,147193387,140052966,93194462,48086598,50874343,147189867,140052969,93193709,48087126,50874533,0
3740885,11952077,25756147,19520017,4716837,3740885,11952077,25756147,19520017,4716837,3789855,11962733,25749462,19591606,4797906,3490918,9647102,23570868,27212757,27864215,3483291,9624518,23675675,27336191,27970494,54706369,50828853,39273941,47335431,54214709,54706369,50828853,39273941,47335431,54214709,54704207,50845333,39272562,47343998,54214318,54999948,51894114,30618892,15798729,16713963,55000451,51891544,30619113,15798987,16714250,0
151135191,233663914,385412533,292559192,164815666,151135191,233663914,385412533,292559192,164815666,151113834,234075089,385094027,292400965,164859954,143786892,214221368,437930706,447224619,439125880,143554709,214220956,438211019,447050707,439121853,842577123,765533354,633812513,725112456,828102040,842577123,765533354,633812513,725112456,828102040,842578330,765426933,633731069,725000417,828092598,851875826,779772600,507861044,262110329,277304570,851878145,779808628,507894289,262108989,277303849,0
